episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
1,0.859249,20,1.0,1.0,pre_filter,False,49.2838,1.0,0.0,0.9,1.0,25.1865,overall>=3.0
2,0.728433,19,1.0,1.0,pre_filter,False,42.2964,1.0,0.0,0.9,1.0,25.3279,"overall IN (2,3,5)"
3,0.140751,1,1.0,1.0,pre_filter,False,13.4799,1.0,0.550669,0.955067,1.0,29.0282,overall<=2.0
4,0.906777,21,1.0,1.0,post_filter,True,1.1413,1.0,0.961957,1.0,0.996196,29.7005,overall>=2.0
5,0.230635,3,1.0,1.0,post_filter,False,1.093,1.0,0.963565,1.0,0.996357,26.074,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
6,0.073033,0,1.0,1.0,pre_filter,False,4.1207,1.0,0.862644,0.986264,1.0,26.3003,brand='Tiffen'
7,0.751008,19,0.9,1.0,post_filter,False,0.9281,1.0,0.969063,0.9,0.996906,25.0603,"overall IN (1,2,5)"
8,0.610257,18,1.0,1.0,pre_filter,False,37.9546,1.0,0.0,0.9,1.0,25.14,overall>=5.0
9,0.906777,21,1.0,0.996196,post_filter,True,1.0038,1.0,0.966539,1.0,0.99323,25.3627,overall>=2.0
10,0.300422,7,1.0,1.0,pre_filter,False,63.3611,1.0,0.0,0.9,1.0,25.404,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
11,0.680906,18,0.9,1.0,post_filter,False,1.0843,1.0,0.963856,0.9,0.996386,25.4058,"overall IN (3,5)"
12,0.952472,21,1.0,0.99323,post_filter,True,1.0605,1.0,0.96465,1.0,0.990372,25.2184,"overall IN (1,3,4,5)"
13,0.12068,1,0.955067,1.0,post_filter,False,1.0601,0.9,0.561778,0.955067,0.956178,25.402,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
14,0.7886,19,0.9,0.996906,post_filter,False,1.0254,1.0,0.965819,0.9,0.993798,25.1132,overall>=4.0
15,0.906777,21,1.0,0.990372,post_filter,True,1.2841,1.0,0.957197,1.0,0.987055,25.3597,overall>=2.0
16,0.658182,18,0.9,0.996386,post_filter,False,0.9555,1.0,0.968149,0.9,0.993562,25.6254,verified=true AND overall>=3.0
17,0.906777,21,1.0,0.987055,post_filter,True,1.0977,1.0,0.963408,1.0,0.98469,25.2898,overall>=2.0
18,0.12068,1,0.955067,0.956178,post_filter,False,0.9875,1.0,0.967083,0.955067,0.957268,36.0652,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
19,0.248992,4,1.0,1.0,pre_filter,False,21.2483,1.0,0.291725,0.929172,1.0,25.261,"overall IN (3,4)"
20,0.092237,0,0.986264,1.0,pre_filter,False,6.4074,1.0,0.786419,0.96628,1.0,25.3302,main_cat='Home Audio &amp; Theater' AND overall>=3.0
21,0.836128,20,0.9,1.0,post_filter,False,0.8421,1.0,0.971929,0.9,0.997193,25.312,"overall IN (2,4,5)"
22,0.160682,1,0.955067,0.957268,pre_filter,False,17.868,1.0,0.404401,0.9,0.957268,25.4983,"main_cat IN ('Camera & Photo', 'Computers')"
23,0.230635,3,1.0,0.996357,pre_filter,False,12.7028,1.0,0.576572,0.957657,0.996357,25.0458,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
24,0.389743,11,1.0,1.0,post_filter,False,0.9655,1.0,0.967815,1.0,0.996782,25.7632,overall<=4.0
25,0.929351,21,1.0,0.98469,post_filter,True,1.0616,1.0,0.964614,1.0,0.982682,25.0655,"overall IN (1,2,4,5)"
26,0.658182,18,0.9,0.993562,pre_filter,False,38.1378,1.0,0.0,0.81,0.993562,25.1083,verified=true AND overall>=3.0
27,0.140751,1,0.9,0.957268,pre_filter,False,12.48,1.0,0.584,0.8684,0.957268,25.2912,overall<=2.0
28,0.881823,20,0.9,0.997193,post_filter,False,0.9077,1.0,0.969742,0.9,0.994448,25.2275,"overall IN (1,4,5)"
29,0.339351,8,1.0,1.0,pre_filter,False,25.9203,1.0,0.135989,0.913599,1.0,25.1425,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
30,0.092237,0,0.96628,1.0,post_filter,False,0.9391,1.0,0.968697,0.96628,0.99687,25.3923,main_cat='Home Audio &amp; Theater' AND overall>=3.0
31,0.952472,21,1.0,0.982682,post_filter,True,0.6048,0.0,0.0,1.0,0.884414,25.6762,"overall IN (1,3,4,5)"
32,0.210713,2,1.0,1.0,pre_filter,False,11.5486,1.0,0.615047,0.961505,1.0,25.4489,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
33,0.881823,20,0.9,0.994448,post_filter,False,0.914,1.0,0.969533,0.9,0.991956,25.2642,"overall IN (1,4,5)"
34,0.389743,11,1.0,0.996782,post_filter,False,0.5942,1.0,0.980192,1.0,0.995123,25.5576,overall<=4.0
35,0.929351,21,1.0,0.884414,post_filter,True,0.8965,1.0,0.970118,1.0,0.892984,25.2551,"overall IN (1,2,4,5)"
36,0.300422,7,0.9,1.0,post_filter,False,1.0181,1.0,0.966063,0.9,0.996606,25.3267,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
37,0.952472,21,1.0,0.892984,post_filter,True,0.8793,1.0,0.970689,1.0,0.900755,25.3552,"overall IN (1,3,4,5)"
38,0.050727,0,0.96628,0.99687,post_filter,False,0.8011,1.0,0.973296,0.96628,0.994512,25.5108,"main_cat IN ('Computers', 'Tools & Home Improvement')"
39,0.339351,8,0.913599,1.0,post_filter,False,1.1764,1.0,0.960786,0.913599,0.996079,25.3812,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
40,0.073033,0,0.96628,0.994512,post_filter,False,0.7676,1.0,0.974414,0.96628,0.992502,25.629,brand='Tiffen'
41,0.319094,7,0.9,0.996606,post_filter,False,1.1895,0.9,0.559267,0.9,0.952872,25.1342,"overall IN (1,2,4)"
42,0.658182,18,0.81,0.993562,post_filter,False,0.7655,1.0,0.974482,0.81,0.991654,25.3995,verified=true AND overall>=3.0
43,0.300422,7,0.9,0.952872,post_filter,False,1.0028,1.0,0.966574,0.9,0.954242,25.4052,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
