episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
1,0.859249,20,1.0,1.0,post_filter,False,1.0422,1.0,0.96526,1.0,0.996526,24.7852,overall>=3.0
2,0.728433,19,1.0,1.0,post_filter,False,1.0508,1.0,0.964974,1.0,0.996497,25.7816,"overall IN (2,3,5)"
3,0.140751,1,1.0,1.0,post_filter,False,1.3362,0.3,9e-06,1.0,0.900001,26.7466,overall<=2.0
4,0.906777,21,1.0,1.0,post_filter,True,0.8251,1.0,0.972497,1.0,0.99725,25.46,overall>=2.0
5,0.230635,3,1.0,1.0,pre_filter,False,38.7892,1.0,0.0,0.9,1.0,25.1099,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
6,0.073033,0,1.0,1.0,pre_filter,False,10.776,0.5,0.001045,0.900105,1.0,26.1445,brand='Tiffen'
7,0.751008,19,1.0,0.996497,pre_filter,False,94.9954,1.0,0.0,0.9,0.996497,24.92,"overall IN (1,2,5)"
8,0.610257,18,1.0,1.0,pre_filter,False,58.1951,1.0,0.0,0.9,1.0,24.8131,overall>=5.0
9,0.906777,21,1.0,0.99725,post_filter,True,0.9354,1.0,0.968819,1.0,0.994407,24.7241,overall>=2.0
10,0.300422,7,1.0,1.0,pre_filter,False,52.6181,1.0,0.0,0.9,1.0,24.7339,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
11,0.680906,18,0.9,1.0,post_filter,False,0.8598,1.0,0.97134,0.9,0.997134,24.8031,"overall IN (3,5)"
12,0.952472,21,1.0,0.994407,post_filter,True,0.8384,1.0,0.972054,1.0,0.992171,24.7485,"overall IN (1,3,4,5)"
13,0.12068,1,1.0,0.900001,post_filter,False,0.9725,0.9,0.563479,1.0,0.866349,24.8141,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
14,0.7886,19,0.9,0.996497,pre_filter,False,53.2277,1.0,0.0,0.81,0.996497,24.722,overall>=4.0
15,0.906777,21,1.0,0.992171,post_filter,True,0.5744,1.0,0.980853,1.0,0.99104,24.7138,overall>=2.0
16,0.658182,18,0.9,0.997134,pre_filter,False,17.9388,1.0,0.402039,0.850204,0.997134,24.9344,verified=true AND overall>=3.0
17,0.906777,21,1.0,0.99104,post_filter,True,0.846,1.0,0.971801,1.0,0.989116,24.8105,overall>=2.0
18,0.12068,1,1.0,0.866349,post_filter,False,0.7063,1.0,0.976458,1.0,0.87736,24.7587,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
19,0.248992,4,1.0,1.0,post_filter,False,0.831,1.0,0.972299,1.0,0.99723,24.5563,"overall IN (3,4)"
20,0.092237,0,0.900105,1.0,post_filter,False,0.9054,1.0,0.969819,0.900105,0.996982,24.5667,main_cat='Home Audio &amp; Theater' AND overall>=3.0
21,0.836128,20,1.0,0.996526,pre_filter,False,41.2039,1.0,0.0,0.9,0.996526,24.5095,"overall IN (2,4,5)"
22,0.160682,1,1.0,0.87736,post_filter,False,0.7689,0.9,0.567431,1.0,0.846367,25.0095,"main_cat IN ('Camera & Photo', 'Computers')"
23,0.230635,3,0.9,1.0,post_filter,False,0.6778,1.0,0.977407,0.9,0.997741,24.7579,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
24,0.389743,11,1.0,1.0,pre_filter,False,40.3378,1.0,0.0,0.9,1.0,25.2488,overall<=4.0
25,0.929351,21,1.0,0.989116,post_filter,True,0.9153,1.0,0.969489,1.0,0.987153,24.138,"overall IN (1,2,4,5)"
26,0.658182,18,0.850204,0.997134,post_filter,False,0.2942,0.6,0.01,0.850204,0.898421,24.6845,verified=true AND overall>=3.0
27,0.140751,1,1.0,0.846367,pre_filter,False,22.7595,0.8,0.043282,0.904328,0.846367,24.571,overall<=2.0
28,0.881823,20,0.9,0.996526,post_filter,False,0.8091,1.0,0.973031,0.9,0.994176,24.9565,"overall IN (1,4,5)"
29,0.339351,8,1.0,1.0,pre_filter,False,44.2804,1.0,0.0,0.9,1.0,24.6013,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
30,0.092237,0,0.900105,0.996982,pre_filter,False,7.2135,1.0,0.759551,0.886049,0.996982,24.8899,main_cat='Home Audio &amp; Theater' AND overall>=3.0
31,0.952472,21,1.0,0.987153,post_filter,True,0.4245,0.0,0.0,1.0,0.888438,24.7838,"overall IN (1,3,4,5)"
32,0.210713,2,1.0,1.0,pre_filter,False,31.387,0.7,0.0,0.9,1.0,24.9214,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
33,0.881823,20,0.9,0.994176,post_filter,False,0.6675,1.0,0.977749,0.9,0.992534,25.0948,"overall IN (1,4,5)"
34,0.389743,11,0.9,1.0,post_filter,False,0.4902,1.0,0.98366,0.9,0.998366,25.0781,overall<=4.0
35,0.929351,21,1.0,0.888438,post_filter,True,0.7614,1.0,0.974619,1.0,0.897056,24.9903,"overall IN (1,2,4,5)"
36,0.300422,7,0.9,1.0,post_filter,False,0.8405,1.0,0.971985,0.9,0.997198,24.193,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
37,0.952472,21,1.0,0.897056,post_filter,True,0.6766,1.0,0.977446,1.0,0.905095,24.5424,"overall IN (1,3,4,5)"
38,0.050727,0,0.886049,0.996982,post_filter,False,0.7114,1.0,0.976288,0.886049,0.994912,24.7247,"main_cat IN ('Computers', 'Tools & Home Improvement')"
39,0.339351,8,0.9,1.0,post_filter,False,1.081,1.0,0.963965,0.9,0.996397,24.4601,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
40,0.073033,0,0.886049,0.994912,pre_filter,False,5.6152,1.0,0.812828,0.878727,0.994912,24.8327,brand='Tiffen'
41,0.319094,7,0.9,0.997198,post_filter,False,1.0383,0.9,0.562202,0.9,0.953699,24.6272,"overall IN (1,2,4)"
42,0.658182,18,0.850204,0.898421,pre_filter,False,51.6588,1.0,0.0,0.765184,0.898421,24.8972,verified=true AND overall>=3.0
43,0.300422,7,0.9,0.953699,post_filter,False,0.8449,1.0,0.971836,0.9,0.955513,24.7809,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
