bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.850791,0.64356,0.207231,36,6,42,pre_filter
1,0.1,0.2,0.616929,0.587297,0.029632,29,22,51,pre_filter
2,0.2,0.22,0.709667,0.816385,0.106718,6,16,22,post_filter
3,0.22,0.24,0.743648,0.8434,0.099752,6,14,20,post_filter
4,0.24,0.26,0.763879,0.979233,0.215354,3,11,14,post_filter
5,0.26,0.28,0.780444,0.934279,0.153834,4,17,21,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.650936,0.772687,0.121751,6,24,30,post_filter
8,0.32,0.34,0.684974,0.846301,0.161327,4,20,24,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.734983,0.802128,0.067145,3,17,20,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.6561,0.725287,0.069187,4,42,46,post_filter
19,0.7,0.8,0.6561,0.79938,0.14328,4,86,90,post_filter
20,0.8,0.9,0.59049,0.898055,0.307565,5,70,75,post_filter
21,0.9,1.0,1.0,0.897572,0.102428,0,45,45,pre_filter
