bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.488294,0.506322,0.018027,38,149,187,post_filter
1,0.1,0.2,0.322083,0.704707,0.382625,23,230,253,post_filter
2,0.2,0.22,0.324357,0.627618,0.30326,15,54,69,post_filter
3,0.22,0.24,0.406398,0.843505,0.437107,9,45,54,post_filter
4,0.24,0.26,0.538684,0.955814,0.41713,8,68,76,post_filter
5,0.26,0.28,0.357098,0.835343,0.478244,11,62,73,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.418156,0.943855,0.525699,9,142,151,post_filter
8,0.32,0.34,0.531441,0.921497,0.390056,6,57,63,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.553392,0.869542,0.31615,6,66,72,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.433246,0.923783,0.490537,8,214,222,post_filter
19,0.7,0.8,0.38742,0.924383,0.536962,9,334,343,post_filter
20,0.8,0.9,0.414948,0.848885,0.433936,9,246,255,post_filter
21,0.9,1.0,1.0,0.888008,0.111992,0,182,182,pre_filter
