bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.430357,0.602722,0.172365,42,145,187,post_filter
1,0.1,0.2,0.407556,0.670132,0.262576,20,233,253,post_filter
2,0.2,0.22,0.394157,0.697309,0.303152,10,59,69,post_filter
3,0.22,0.24,0.506517,0.807469,0.300951,8,46,54,post_filter
4,0.24,0.26,0.534193,0.952495,0.418302,8,68,76,post_filter
5,0.26,0.28,0.389492,0.837846,0.448354,11,62,73,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.336784,0.943759,0.606975,11,140,151,post_filter
8,0.32,0.34,0.431023,0.916571,0.485548,9,54,63,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.591322,0.873726,0.282404,5,67,72,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.218537,0.92303,0.704492,15,207,222,post_filter
19,0.7,0.8,0.254187,0.924411,0.670225,13,330,343,post_filter
20,0.8,0.9,0.348678,0.848574,0.499896,10,245,255,post_filter
21,0.9,1.0,1.0,0.887983,0.112017,0,182,182,pre_filter
