phase,n_docs,epoch,mean_reward,crossover
1,100000,1,0.853327,0.34
1,100000,2,0.85979,0.61
1,100000,3,0.858472,0.61
1,100000,4,0.861874,0.61
1,100000,5,0.863541,0.61
1,100000,6,0.863994,0.61
1,100000,7,0.863432,0.61
1,100000,8,0.862779,0.71
1,100000,9,0.858841,0.71
1,100000,10,0.859387,0.71
2,200000,1,0.795127,0.34
2,200000,2,0.807529,0.34
2,200000,3,0.805936,0.14
2,200000,4,0.799469,0.14
2,200000,5,0.79733,0.34
2,200000,6,0.805483,0.34
2,200000,7,0.805991,0.2
2,200000,8,0.805937,0.34
2,200000,9,0.807801,0.34
2,200000,10,0.806454,0.34
3,300000,1,0.672548,0.12
3,300000,2,0.676607,0.12
3,300000,3,0.677847,0.12
3,300000,4,0.669369,0.34
3,300000,5,0.673714,0.12
3,300000,6,0.679559,0.12
3,300000,7,0.682983,0.12
3,300000,8,0.683371,0.12
3,300000,9,0.683277,0.12
3,300000,10,0.684708,0.12
4,388058,1,0.662295,0.1
4,388058,2,0.67339,0.1
4,388058,3,0.674931,0.26
4,388058,4,0.673194,0.16
4,388058,5,0.677547,0.16
4,388058,6,0.680298,0.12
4,388058,7,0.674262,0.12
4,388058,8,0.668874,0.1
4,388058,9,0.677159,0.1
4,388058,10,0.682008,0.1
