phase,n_docs,epoch,query_idx,filter_idx,selectivity,strategy_chosen,latency_ms,recall,reward,q_bitmap,q_post,crossover_estimate,was_guardrail,oracle_strategy,oracle_reward
1,100000,0,42,19,0.72884,bitmap_prefilter,2.244001007056795,1.0,0.8877999496471602,0.5,0.5,,False,post_filter,0.9661645997548476
1,100000,0,21,19,0.72884,post_filter,0.9641260039643385,1.0,0.9517936998017831,0.5387799949647161,0.5,,False,post_filter,0.9517936998017831
1,100000,0,15,14,0.39017,post_filter,0.7629579922650009,1.0,0.96185210038675,0.5,0.5,,False,post_filter,0.96185210038675
1,100000,0,2,18,0.70315,bitmap_prefilter,2.3058330043568276,1.0,0.8847083497821586,0.5,0.5,,False,post_filter,0.9555145499471109
1,100000,0,38,29,0.95333,post_filter,0.3197510013706051,0.9,0.7089183240617507,0.5,0.5,,True,post_filter,0.7089183240617507
1,100000,0,48,22,0.78694,bitmap_prefilter,2.1536670028581284,1.0,0.8923166498570936,0.5,0.5,,False,post_filter,0.9642125501850387
1,100000,0,15,16,0.65811,post_filter,0.6897089988342486,1.0,0.9655145500582876,0.5,0.5,,False,post_filter,0.9655145500582876
1,100000,0,48,27,0.90434,post_filter,0.625291999313049,1.0,0.9687354000343475,0.5,0.5208918324061751,,True,post_filter,0.9687354000343475
1,100000,0,49,23,0.8245,bitmap_prefilter,2.1896660036873072,1.0,0.8905166998156346,0.5,0.5,,False,post_filter,0.9689958502131049
1,100000,0,36,1,0.07002,post_filter,0.6742500045220368,1.0,0.9662874997738982,0.5,0.5,,False,post_filter,0.9662874997738982
1,100000,0,29,6,0.1808,bitmap_prefilter,0.9514169942121953,1.0,0.9524291502893902,0.5,0.5,,False,post_filter,0.9642354501702357
1,100000,0,43,4,0.1398,bitmap_prefilter,0.9774170030141249,1.0,0.9511291498492938,0.5,0.5,,False,post_filter,0.9590291499771411
1,100000,0,19,18,0.70315,bitmap_prefilter,2.414624992525205,1.0,0.8792687503737397,0.5384708349782159,0.5,,False,post_filter,0.9634916497598169
1,100000,0,13,4,0.1398,bitmap_prefilter,0.5983340015518479,1.0,0.9700832999224076,0.5451129149849294,0.5,,False,post_filter,0.9789478999446146
1,100000,0,14,19,0.72884,post_filter,1.7410419968655333,1.0,0.9129479001567233,0.5387799949647161,0.5451793699801784,,False,post_filter,0.9129479001567233
1,100000,0,41,17,0.68217,post_filter,0.297874998068437,1.0,0.9851062500965782,0.5725506265177683,0.5,,False,post_filter,0.9851062500965782
1,100000,0,16,20,0.75377,post_filter,0.6368760077748448,1.0,0.9681561996112578,0.5387799949647161,0.5819562229978329,,False,post_filter,0.9681561996112578
1,100000,0,45,0,0.05025,bitmap_prefilter,0.38862499786773697,0.4,0.00021244595979226386,0.5,0.5466287499773899,,False,bitmap_prefilter,0.00021244595979226386
1,100000,0,34,8,0.23083,bitmap_prefilter,1.0665830050129443,1.0,0.9466708497493528,0.5,0.5,,False,post_filter,0.9673521000659093
1,100000,0,49,12,0.31908,bitmap_prefilter,1.370166995911859,1.0,0.931491650204407,0.5,0.5,,False,post_filter,0.9660062498151092
1,100000,0,37,16,0.65811,post_filter,0.775373999204021,1.0,0.961231300039799,0.5,0.5465514550058288,,False,post_filter,0.961231300039799
1,100000,0,47,19,0.72884,post_filter,0.753415995859541,1.0,0.962329200207023,0.5387799949647161,0.6205762206591754,,False,post_filter,0.962329200207023
1,100000,0,0,15,0.61144,bitmap_prefilter,2.1835830048075877,1.0,0.8908208497596206,0.5,0.5880194395092259,,False,post_filter,0.9726520498370519
1,100000,0,3,20,0.75377,post_filter,0.3995409933850169,1.0,0.9800229503307492,0.5387799949647161,0.6547515186139602,,False,post_filter,0.9800229503307492
1,100000,0,18,12,0.31908,bitmap_prefilter,1.2185829982627183,1.0,0.9390708500868641,0.5431491650204407,0.5,,False,post_filter,0.9700270498578902
1,100000,0,10,6,0.1808,bitmap_prefilter,0.9643339944886975,1.0,0.9517833002755651,0.5452429150289391,0.5,,False,post_filter,0.9620833001245046
1,100000,0,17,10,0.2702,bitmap_prefilter,1.2563750060508028,1.0,0.9371812496974599,0.5,0.5,,False,post_filter,0.9622374998580199
1,100000,0,35,29,0.95333,post_filter,0.2806249976856634,1.0,0.9859687501157168,0.5,0.5656761891689923,,True,post_filter,0.9859687501157168
1,100000,0,40,5,0.16001,post_filter,0.8906249931897037,1.0,0.9554687503405148,0.5,0.5,,False,post_filter,0.9554687503405148
1,100000,0,4,12,0.31908,bitmap_prefilter,1.3574169934145175,1.0,0.9321291503292741,0.5827413335270831,0.5,,False,post_filter,0.959358349951799
1,100000,0,44,9,0.24979,bitmap_prefilter,1.03508399479324,1.0,0.948245800260338,0.5,0.5,,False,post_filter,0.9695020997023676
1,100000,0,36,0,0.05025,post_filter,0.730334002582822,1.0,0.9634832998708589,0.45002124459597925,0.5466287499773899,,False,bitmap_prefilter,0.9732562999270158
1,100000,0,42,16,0.65811,post_filter,0.6892919991514646,1.0,0.9655354000424268,0.5390820849759621,0.5880194395092259,,False,post_filter,0.9655354000424268
1,100000,0,31,3,0.12052,bitmap_prefilter,0.833250000141561,0.6,0.011972959152100844,0.5876099534786773,0.5,,False,bitmap_prefilter,0.011972959152100844
1,100000,0,14,16,0.65811,post_filter,0.704833997588139,1.0,0.964758300120593,0.5390820849759621,0.625771035562546,,False,post_filter,0.964758300120593
1,100000,0,26,14,0.39017,bitmap_prefilter,1.5047499982756563,1.0,0.9247625000862172,0.5,0.546185210038675,,False,post_filter,0.9580979500024114
1,100000,0,19,8,0.23083,bitmap_prefilter,1.0685000015655532,1.0,0.9465749999217223,0.5446670849749353,0.5,,False,post_filter,0.966243749804562
1,100000,0,24,21,0.77111,post_filter,0.660458994389046,1.0,0.9669770502805477,0.5392316649857094,0.5,0.71,False,post_filter,0.9669770502805477
1,100000,0,4,19,0.72884,bitmap_prefilter,2.4215000012191013,1.0,0.8789249999390449,0.5387799949647161,0.6872786617856391,0.71,False,post_filter,0.9325604003388435
1,100000,0,6,11,0.29827,bitmap_prefilter,1.2992089978069998,1.0,0.93503955010965,0.5,0.5,0.71,False,post_filter,0.9643125000147847
1,100000,0,11,2,0.08972,post_filter,0.7830410031601787,0.8,0.21316949296408924,0.45002124459597925,0.5883142049667368,0.71,False,bitmap_prefilter,0.21394597650759983
1,100000,0,33,2,0.08972,bitmap_prefilter,0.9167080061160959,0.9,0.6874148481976715,0.45002124459597925,0.5507997337664721,0.71,False,post_filter,0.6901690043966294
1,100000,0,21,6,0.1808,bitmap_prefilter,1.0533329987083562,1.0,0.9473333500645822,0.5858969535536017,0.5,0.71,False,post_filter,0.9544812500971602
1,100000,0,4,15,0.61144,post_filter,0.7831679977243766,1.0,0.9608416001137812,0.5390820849759621,0.6596697620183507,0.71,False,post_filter,0.9608416001137812
