phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
4,388058,5.01,"main_cat IN ('Computers', 'Cell Phones &amp; Accessories')",5.7,0.974,0.89,0.852,1.26,0.858,5.7,0.974
4,388058,7.13,verified=false AND overall<=3.0,12.27,0.998,1.36,0.682,1.83,0.702,12.27,0.998
4,388058,9.24,"main_cat IN ('Camera &amp; Photo', 'Car Electronics')",10.63,0.992,0.87,0.836,1.56,0.844,10.63,0.992
4,388058,11.95,verified=false AND overall<=4.0,0.86,0.892,0.86,0.892,2.28,0.892,18.86,0.998
4,388058,14.12,"main_cat IN ('Camera & Photo', 'Car Electronics')",0.96,0.86,0.96,0.86,2.1,0.868,16.29,0.996
4,388058,16.0,"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Cell Phones &amp; Accessories')",0.83,0.916,0.83,0.916,2.37,0.922,18.52,0.98
4,388058,18.04,"main_cat IN ('Camera & Photo', 'Computers', 'Car Electronics')",0.83,0.894,0.83,0.894,2.46,0.904,20.52,0.988
4,388058,21.24,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",2.01,0.85,2.01,0.85,2.64,0.87,24.0,0.978
4,388058,23.09,"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Computers')",2.77,0.93,2.77,0.93,2.94,0.936,26.26,0.978
4,388058,25.12,"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Car Electronics')",0.94,0.928,0.94,0.928,3.06,0.934,28.51,0.98
4,388058,27.08,"main_cat IN ('Home Audio & Theater', 'Computers')",0.83,0.912,0.83,0.912,3.57,0.912,30.56,0.978
4,388058,29.92,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')",8.93,0.938,8.93,0.938,3.92,0.942,38.82,0.978
4,388058,32.02,"main_cat IN ('All Electronics', 'Musical Instruments', 'Books')",2.3,0.928,2.3,0.928,4.02,0.932,36.99,0.978
4,388058,34.16,"main_cat IN ('Home Audio & Theater', 'Home Audio &amp; Theater')",3.69,0.918,3.69,0.918,5.11,0.92,40.56,0.978
4,388058,39.19,"main_cat IN ('All Electronics', 'Home Audio &amp; Theater', 'Car Electronics')",4.44,0.92,4.44,0.92,4.5,0.924,46.07,0.98
4,388058,60.83,verified=true AND overall>=4.0,2.9,0.928,2.9,0.928,7.19,0.928,77.01,0.978
4,388058,66.13,verified=true AND overall>=3.0,2.78,0.94,2.78,0.94,6.91,0.942,76.02,0.978
4,388058,67.53,"overall IN (3,5)",2.67,0.946,2.67,0.946,7.22,0.946,84.81,0.976
4,388058,70.13,"overall IN (1,5)",5.41,0.952,5.41,0.952,7.43,0.952,102.56,0.978
4,388058,72.59,"overall IN (2,3,5)",4.82,0.946,4.82,0.946,7.68,0.946,91.67,0.976
4,388058,75.18,"overall IN (1,2,5)",4.21,0.952,4.21,0.952,7.38,0.952,85.47,0.978
4,388058,77.37,"overall IN (1,3,5)",5.23,0.95,5.23,0.95,7.51,0.95,120.33,0.976
4,388058,77.87,overall>=4.0,1.87,0.932,1.87,0.932,7.59,0.932,93.12,0.976
4,388058,82.42,"overall IN (1,2,3,5)",5.15,0.95,5.15,0.95,7.46,0.95,102.6,0.976
4,388058,82.92,"overall IN (2,4,5)",1.94,0.944,1.94,0.944,7.98,0.944,96.93,0.976
4,388058,85.11,overall>=3.0,3.98,0.942,3.98,0.942,7.59,0.944,108.08,0.976
4,388058,87.71,"overall IN (1,4,5)",1.69,0.95,1.69,0.95,7.78,0.95,97.02,0.976
4,388058,90.16,overall>=2.0,3.88,0.946,3.88,0.946,7.75,0.948,100.64,0.976
4,388058,92.76,"overall IN (1,2,4,5)",6.77,0.95,6.77,0.95,8.6,0.95,119.75,0.976
4,388058,94.95,"overall IN (1,3,4,5)",1.9,0.948,1.9,0.948,8.01,0.95,102.73,0.976
